From ,Destination,Duration,plan
Dhaka, Cox's Bazar,3,"১ম দিন: কক্সবাজারে আগমন

 সকাল: আগমন
   ঢাকা থেকে বাসে করে কক্সবাজার পৌঁছান। আপনার হোটেলে চেক করুন এবং ফ্রেশ হয়ে নিন।

বিকাল: কক্সবাজার সমুদ্র সৈকত
দুপুরের খাবারের পর, আইকনিক কক্সবাজার সমুদ্র সৈকতে যান। সমুদ্র সৈকতে হাঁটুন, সমুদ্রের বাতাস উপভোগ করুন এবং সূর্যাস্তের সাক্ষী থাকুন।
এছাড়াও আপনি লাবনি বিচ পরিদর্শন করতে পারেন, যা তার প্রাণবন্ত পরিবেশ, সমুদ্র সৈকতের ক্যাফে এবং স্থানীয় স্যুভেনির শপের জন্য বিখ্যাত।

সন্ধ্যা: একটি সীফুড রেস্তোরাঁয় রাতের খাবার
কক্সবাজার তার সুস্বাদু সামুদ্রিক খাবারের জন্য পরিচিত। একটি স্থানীয় রেস্তোরাঁয় একটি সীফুড ডিনার উপভোগ করুন, গ্রিলড চিংড়ি, মাছের তরকারি এবং কাঁকড়ার মতো খাবারগুলি চেষ্টা করুন৷

২য় দিন: অভ্যন্তরীণ অনুসন্ধান

সকাল: হিমছড়ি জাতীয় উদ্যান
কক্সবাজার থেকে প্রায় 12 কিমি দূরে হিমছড়ি জাতীয় উদ্যান পরিদর্শনের মাধ্যমে আপনার দিন শুরু করুন। পার্কের সবুজ, হাইকিং ট্রেইল এবং মনোরম হিমছড়ি জলপ্রপাত অন্বেষণ করুন।

বিকাল: ইনানী সমুদ্র সৈকত
ইনানী সমুদ্র সৈকতে যান, এটি তার শান্ত এবং কম ভিড়ের পরিবেশের জন্য পরিচিত। বালুকাময় তীরে আরাম করুন, স্বচ্ছ জলে ডুব দিন এবং পিকনিক লাঞ্চ উপভোগ করুন।

সন্ধ্যা: কেনাকাটা
 শেষ বিকেলে কক্সবাজারে ফিরে যান এবং স্থানীয় বাজারে স্থানীয় হস্তশিল্প এবং স্যুভেনিরের জন্য কিছু কেনাকাটা করুন।

রাত্রি: ডিনার এবং বিচ ওয়াক
স্থানীয় রেস্টুরেন্টে রাতের খাবার উপভোগ করুন। তারপরে, একটি চাঁদের সৈকতে হাঁটুন বা সমুদ্রের ধারে আরাম করুন, শান্ত পরিবেশ উপভোগ করুন।

৩য় দিন: সেন্ট মার্টিন দ্বীপ ঘুরে দেখুন (ঐচ্ছিক)

আপনার যদি একটি অতিরিক্ত দিন থাকে এবং আপনি সেন্ট মার্টিন দ্বীপটি ঘুরে দেখতে চান, যা তার আদিম সৈকত এবং স্নরকেলিংয়ের সুযোগের জন্য পরিচিত, তাহলে নিম্নলিখিতগুলি বিবেচনা করুন:

সকাল: টেকনাফ ভ্রমণ
 খুব ভোরে, বাংলাদেশের সর্বদক্ষিণের শহর টেকনাফের উদ্দেশ্যে 3-4 ঘন্টার গাড়ি নিয়ে যান।

দেরী সকাল: সেন্ট মার্টিন দ্বীপে স্পিডবোট
  টেকনাফ থেকে সেন্ট মার্টিন দ্বীপে স্পিডবোট ধরুন। ভ্রমণে প্রায় 1.5 থেকে 2 ঘন্টা সময় লাগে।

বিকাল: সৈকত সময় এবং স্নরকেলিং
 আপনার দিনটি সেন্ট মার্টিন দ্বীপে কাটান, এর সাদা বালুকাময় সৈকতে আরাম করুন বা প্রাণবন্ত পানির নিচের জীবন অন্বেষণ করতে স্নরকেলিং অ্যাডভেঞ্চারে নিযুক্ত হন।

সন্ধ্যা: কক্সবাজার ফেরা
  শেষ বিকেলে, স্পিডবোটে কক্সবাজার ফিরে যান এবং তারপরে আপনার হোটেলে ফিরে যান।

 বিকল্প দিন 3: কক্সবাজার আরও ঘুরে দেখুন (যদি সেন্ট মার্টিন দ্বীপে না যান)
সকাল:
  কক্সবাজারের মনোরম মৎস্য বন্দর পরিদর্শন করুন এবং জেলেদের ব্যস্ত কর্মকান্ডের সাক্ষী থাকুন।

বিকেল:
 আকর্ষণীয় ট্রিঙ্কেট এবং স্যুভেনির কেনাকাটা করতে বার্মিজ মার্কেট ঘুরে দেখুন।

সন্ধ্যা:
কক্সবাজার সমুদ্র সৈকতে আপনার শেষ সন্ধ্যা কাটান, সূর্যাস্ত উপভোগ করুন এবং আপনার দুর্দান্ত ভ্রমণের প্রতিফলন করুন।"
Dhaka, Cox's Bazar,2," রাত ৯:০০ ঘটিকায় ঢাকা থেকে রিজার্ভ গাড়িতে করে কক্সবাজারের উদ্দৈশ্যে যাত্রা শুরু করবো।
সকালে কক্সবাজার পৌছিয়ে যাবো, এরপর ফ্রেশ হয়ে আমরা নাস্তা করে নিবো,১০/১১ টার দিকে হোটেলে উঠে, সকলের রুম বুজিয়ে দেয়া হবে।তারপর চলে যাব কলাতলী,সুগন্ধা এবং লাবনী বিচে,সেখানে সমুদ্রে গা ভাসিয়ে গোসল করে ফটোশুট করে দুপুর ১টার মধ্যে আমরা দুপুরের খাবার পর্ব শেষ করে সবাই হোটেলে একটু বিশ্রাম নিব।বিকেল ৪ টার দিকে সবাইকে এক সাথে নিয়ে ব্রীচের আশে পাশে ঘুরাঘুরি করব এবং বীচের সূর্য্য অস্ত্য দেখে ,যে যার মত ঘুরা ফেরা করতে চলে জাব।রাত ১০ টার মধ্যে সবাইকে খাবারের জন্য চলে আসতে হবে রাতের খাবারে পর্ব শেষ করে, চাইলে বিশ্রাম নিতে পারবেন না হয় বীচে গিয়ি সময় কাটাতে ,গান বাজনা আনন্দ করতে পারবেন। ভোরে উঠে সবাইকে নিয়ে বীচে চলে আসব(যার যার ইচ্ছে হবে)।সকালে সাগড় পাড়ের প্রকৃতী দেখে চলে আসব নাস্তার জন্য এবং সকলে নাস্তা পর্ব শেষ করে ১১ টার মধ্যে চেক আউট করতে হবে । আপনাদের প্রয়োজনীয় জিনিস পত্র রাখার জন্য আমাদের ১/২ টা রুম বরাদ্ধ থাকিবে। যারা একটু আরাম আয়েশের জন্য রুম রাখতে চান তারা দয়া করে হোস্টের সাথে যোগাযোগ করবেন। ১ টার মধ্যে দুপুরের খাবারের পর্ব শেষ করে সবার সাথে কথা বলে হিমছড়ি ও ইনানী যাব ওখানে যাওয়া বাধ্যতা মূলক না। যারা যাবেন তাদের নিজ খরচে যেতে হবে।খরচ জন প্রতি আসা যাওয়া ১০০ টাকার লাগবে অটো রিস্কাতে,২৫০ টাকা জিপ গারিতে করে।যারা যাবেন তাদের কে নিয়ে ইনানী সূয্য অস্ত দেখবো।তারপর আমরা সন্ধ্যার আগেই কক্সবাজার ফিরে এসে যে যার মতো করে ঘুরাফেরা ও কেনাকাটা করবো,অবশেষে আমরা রাত ১০/১১ ঘটিকায় রিজার্ভ গাড়িতে করে ঢাকার উদ্দেশ্যে রওনা হবো।
 সব কিছু ঠিক থাকলে ভোর ৭ টার মধ্যেই আমরা ঢাকা সায়েদাবাদ বাস টার্মিনাল থাকবো                      ★ঢাকা টু কক্সবাজার আসা যাওয়া রিজার্ভ বাস ( চেয়ার কোচ বাস)
★মোট ৫ বেলার খাবার খরচ।"
Dhaka, Cox's Bazar,1,"ঢাকা থেকে বাসে করে কক্সবাজার পৌঁছান। আপনার হোটেলে চেক করুন এবং ফ্রেশ হয়ে নিন.  কক্সবাজারে পৌঁছে সোজা সমুদ্র সৈকতে চলে যান।
দেরী সকাল থেকে বিকাল: কক্সবাজার সমুদ্র সৈকত

প্রধান আকর্ষণ কক্সবাজার সমুদ্র সৈকতে আপনার শেষ সকাল এবং বিকাল কাটান।
সমুদ্র সৈকতে হাঁটুন, সমুদ্রের বাতাস উপভোগ করুন এবং সম্ভবত একটি ডুব দিন।
দুপুরের খাবারের জন্য কাছাকাছি স্টল থেকে স্থানীয় রাস্তার খাবার এবং তাজা সামুদ্রিক খাবার চেষ্টা করুন।
বিকেল: হিমছড়ি জাতীয় উদ্যান

বিকেলে, হিমছড়ি জাতীয় উদ্যান দেখুন, যা কক্সবাজার সমুদ্র সৈকত থেকে প্রায় 30 মিনিটের পথ।
পার্কের সবুজ সবুজ, ট্রেকিং ট্রেইল এবং সুন্দর হিমছরি জলপ্রপাত অন্বেষণ করুন।
কিছু ফটো ক্যাপচার করুন এবং নির্মল প্রাকৃতিক সৌন্দর্য উপভোগ করুন।
শেষ বিকেল: ইনানী সমুদ্র সৈকত

হিমছড়ি পরিদর্শন করার পরে, ইনানী সমুদ্র সৈকতে যান, যা হিমছড়ি থেকে প্রায় 8 কিলোমিটার দূরে অবস্থিত।
ইনানী সমুদ্র সৈকতে কিছু সময় কাটান, যা কক্সবাজার সমুদ্র সৈকতের তুলনায় তার আদি সৌন্দর্য এবং শান্ত পরিবেশের জন্য পরিচিত।
সন্ধ্যাঃ কক্সবাজার ফেরা

সন্ধ্যায় কক্সবাজার শহরে ফিরুন, যা প্রায় 1-2 ঘন্টা লাগবে।
রাত: ডিনার এবং ঢাকার উদ্দেশ্যে যাত্রা

স্থানীয় রেস্তোরাঁয় রাতের খাবার খান, কক্সবাজারের বিখ্যাত সামুদ্রিক খাবারের স্বাদ নিন।
রাতের খাবারের পরে, ঢাকায় আপনার ফিরতি যাত্রার জন্য বিমানবন্দর বা বাস টার্মিনালে যান।"
Dhaka, Cox's Bazar,4,"দিন 1: কক্সবাজার আগমন

সকাল: ফ্লাইট বা বাসে কক্সবাজার পৌঁছান।
বিকেল: আপনার হোটেল বা রিসর্টে চেক-ইন করুন।
সন্ধ্যা: কক্সবাজার সমুদ্র সৈকত ঘুরে দেখুন এবং স্থানীয় সামুদ্রিক খাবার উপভোগ করুন।
দিন 2: ইনানী বিচ এবং সেন্ট মার্টিন দ্বীপ (ঐচ্ছিক)

সকাল: একটি শান্ত সমুদ্র সৈকতের অভিজ্ঞতার জন্য ইনানী বিচে ড্রাইভ করুন।
বিকেল: সেন্ট মার্টিন দ্বীপ ঘুরে দেখুন (নৌকা ভ্রমণের প্রয়োজন)।
সন্ধ্যাঃ রাতের খাবার খেয়ে কক্সবাজারে ফেরা।
দিন 3: সৈকত দিবস এবং হিমছড়ি

সকাল: কক্সবাজার সমুদ্র সৈকতে বিশ্রাম নিন।
বিকেল: হিমছড়ি জাতীয় উদ্যানে যান এবং জলপ্রপাত উপভোগ করুন।
সন্ধ্যাঃ রাতের খাবার ও অবসরের জন্য কক্সবাজারে ফেরা।
দিন 4: প্রস্থান

সকাল: স্থানীয় বাজার ঘুরে দেখুন এবং স্যুভেনিরের জন্য কেনাকাটা করুন।
বিকাল: আপনার বাসস্থান থেকে চেক আউট.
সন্ধ্যাঃ কক্সবাজার থেকে ফ্লাইট বা বাসে ঢাকার উদ্দেশ্যে রওনা।"
,,,
,,,
,,,
,,,
,,,
,,,
